Modèle,Backbone,Perte,Variante Train,Training time (sec),Meilleure Epoch,IoU Validation,Loss Validation,IoU Test,IoU Human,IoU Object,Temps Inférence Moyen (ms),Log Tensorboard
Unet,vgg16,categorical_crossentropy,default,2322,9,0.7236,0.3437,0.4536,0.2516,0.1269,20,./logs/fit/Unet_vgg16_categorical_crossentropy_default_default_20250323-100538
Unet,vgg16,dice_loss,default,2305,9,0.8114,0.2866,0.6962,0.4139,0.2178,20,./logs/fit/Unet_vgg16_dice_loss_default_default_20250323-104455
Unet,vgg16,dice_loss_weighted,default,2250,9,0.791,0.6485,0.6075,0.2771,0.1243,21,./logs/fit/Unet_vgg16_dice_loss_weighted_default_default_20250323-112355
Unet,vgg16,tversky_loss,default,2241,9,0.7902,0.1221,0.6782,0.0,0.0,21,./logs/fit/Unet_vgg16_tversky_loss_default_default_20250323-124319
Unet,vgg16,focal_loss,default,2215,8,0.5405,0.5348,0.4256,0.2553,0.0245,20,./logs/fit/Unet_vgg16_focal_loss_default_default_20250323-132116
Unet,vgg16,dice_loss,no_augmentation,2200,8,0.8211,0.2711,0.6985,0.398,0.2305,20,./logs/fit/Unet_vgg16_dice_loss_no_augmentation_default_20250323-173313
Unet,vgg16,dice_loss,no_weights,2156,9,0.8044,0.2878,0.6682,0.3597,0.1884,21,./logs/fit/Unet_vgg16_dice_loss_no_weights_default_20250323-181028
Unet,vgg16,dice_loss,dynamic_weights,2244,9,0.8097,0.2847,0.6241,0.2223,0.1941,20,./logs/fit/Unet_vgg16_dice_loss_dynamic_weights_default_20250323-184700
Unet,vgg16,dice_loss,smaller_batch,2230,8,0.811,0.2781,0.6801,0.4295,0.2083,26,./logs/fit/Unet_vgg16_dice_loss_smaller_batch_smaller_batch_20250323-192459
Unet,resnet50,dice_loss,dynamic_weights,2396,8,0.8088,0.2929,0.7236,0.3624,0.169,24,./logs/fit/Unet_resnet50_dice_loss_dynamic_weights_default_20250323-201408
Unet,resnet101,dice_loss,dynamic_weights,2611,8,0.8061,0.2953,0.6988,0.3453,0.2132,28,./logs/fit/Unet_resnet101_dice_loss_dynamic_weights_default_20250323-205450
Unet,mobilenetv2,dice_loss,dynamic_weights,2187,8,0.7691,0.3242,0.7075,0.329,0.1899,24,./logs/fit/Unet_mobilenetv2_dice_loss_dynamic_weights_default_20250323-213908
Unet,efficientnetb3,dice_loss,dynamic_weights,2442,9,0.8171,0.2765,0.7212,0.4306,0.2219,35,./logs/fit/Unet_efficientnetb3_dice_loss_dynamic_weights_default_20250323-221616
FPN,resnet50,dice_loss,dynamic_weights,2308,9,0.7982,0.3031,0.7229,0.3335,0.1779,27,./logs/fit/FPN_resnet50_dice_loss_dynamic_weights_default_20250324-072631
FPN,mobilenetv2,dice_loss_weighted,smaller_batch,2307,9,0.7851,0.6817,0.7161,0.3549,0.1809,28,./logs/fit/FPN_mobilenetv2_dice_loss_weighted_smaller_batch_smaller_batch_20250324-080546
PSPNet,resnet50,dice_loss,PSPNet_image_size,2339,9,0.7459,0.357,0.7346,0.2932,0.1658,28,./logs/fit/PSPNet_resnet50_dice_loss_PSPNet_image_size_PSPNet_image_size_20250324-090006
DeepLabV3+_Custom,Xception,dice_loss,default,2620,9,0.7431,0.3665,0.7024,0.2955,0.1194,28,./logs/fit/DeepLabV3+_Custom_Xception_dice_loss_default_default_20250324-094840
DeepLabV3+_Custom,Xception,tversky_loss,dynamic_weights,2541,9,0.7516,0.1462,0.6677,0.0,0.0,27,./logs/fit/DeepLabV3+_Custom_Xception_tversky_loss_dynamic_weights_default_20250324-104317
DeepLabV3+_Custom,Xception,dice_loss_weighted,dynamic_weights,2478,9,0.7559,0.7662,0.667,0.2407,0.0815,25,./logs/fit/DeepLabV3+_Custom_Xception_dice_loss_weighted_dynamic_weights_default_20250324-122649
